epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.548,1.1548,4.07346,0.00393,0.73995,0.68566,0.77804,0.49821,1.1755,2.78746,0.00669,0.00032,0.00032,0.00032
2,15.4271,1.20576,2.05806,0.00433,0.77687,0.79704,0.85718,0.55686,1.32726,1.53694,0.00704,0.000646932,0.000646932,0.000646932
3,20.4501,1.36874,1.44951,0.00534,0.5544,0.62651,0.62555,0.36938,1.41914,1.61026,0.00806,0.0009604,0.0009604,0.0009604
4,25.2839,1.50748,1.11074,0.00551,0.67861,0.46988,0.48878,0.28099,1.68051,2.14107,0.00998,0.0012604,0.0012604,0.0012604
5,30.1317,1.43623,1.04134,0.00521,0.87365,0.79518,0.9002,0.57233,1.24035,0.75645,0.00702,0.00154694,0.00154694,0.00154694
6,35.1291,1.49386,0.95496,0.00552,0.87263,0.85542,0.9033,0.53372,1.40447,0.79846,0.00997,0.001802,0.001802,0.001802
7,39.9722,1.48548,0.87476,0.00579,0.75887,0.55422,0.6826,0.34902,1.58817,1.93861,0.01022,0.0017624,0.0017624,0.0017624
8,44.7882,1.46351,0.77739,0.00551,0.86771,0.95181,0.93548,0.54673,1.44708,0.80462,0.00878,0.0017228,0.0017228,0.0017228
9,49.5922,1.39306,0.8038,0.00541,0.79758,0.91566,0.88477,0.50431,1.4412,0.95182,0.00885,0.0016832,0.0016832,0.0016832
10,54.3893,1.34484,0.69097,0.00493,0.92677,0.81928,0.90839,0.53336,1.44269,0.8171,0.00798,0.0016436,0.0016436,0.0016436
11,59.2368,1.31722,0.67217,0.00478,0.88008,0.85542,0.92253,0.55715,1.39997,0.73139,0.00884,0.001604,0.001604,0.001604
12,64.0624,1.29996,0.62651,0.00497,0.87845,0.89157,0.93193,0.64107,1.21683,0.74639,0.0065,0.0015644,0.0015644,0.0015644
13,69.0347,1.30514,0.63321,0.00488,0.61162,0.81928,0.71542,0.45723,1.26851,1.57471,0.00726,0.0015248,0.0015248,0.0015248
14,73.846,1.23715,0.58057,0.00439,0.59549,0.66265,0.72997,0.49099,1.17816,1.95719,0.00713,0.0014852,0.0014852,0.0014852
15,78.6563,1.17983,0.53913,0.00457,0.92538,0.93976,0.94955,0.61125,1.24654,0.61687,0.00764,0.0014456,0.0014456,0.0014456
16,83.6266,1.21199,0.49282,0.00456,0.88528,0.96386,0.95276,0.68614,1.07268,0.48163,0.00623,0.001406,0.001406,0.001406
17,88.6066,1.23057,0.48877,0.00459,0.8968,0.9423,0.95683,0.6445,1.1807,0.48576,0.00687,0.0013664,0.0013664,0.0013664
18,93.4611,1.18427,0.50987,0.00443,0.93797,0.91092,0.95432,0.67503,1.05491,0.69302,0.00619,0.0013268,0.0013268,0.0013268
19,98.3281,1.27286,0.53069,0.00472,0.89839,0.95872,0.95017,0.63452,1.11987,0.55151,0.00555,0.0012872,0.0012872,0.0012872
20,103.157,1.22414,0.53259,0.00446,0.91909,0.96386,0.95252,0.66606,1.11532,0.47541,0.00558,0.0012476,0.0012476,0.0012476
21,107.953,1.17878,0.49847,0.00375,0.91981,0.9759,0.97596,0.70986,1.02385,0.48661,0.00526,0.001208,0.001208,0.001208
22,112.95,1.05998,0.48577,0.00355,0.93952,0.93584,0.97587,0.65754,1.09176,0.46805,0.00594,0.0011684,0.0011684,0.0011684
23,117.755,1.08795,0.46166,0.00361,0.91948,0.96386,0.97467,0.68325,1.10403,0.39772,0.00614,0.0011288,0.0011288,0.0011288
24,122.827,1.08262,0.51259,0.00374,0.97449,0.92064,0.96812,0.68373,1.06537,0.43922,0.00588,0.0010892,0.0010892,0.0010892
25,127.637,1.0004,0.44526,0.00348,0.95054,0.92625,0.97101,0.68877,1.02971,0.4066,0.00552,0.0010496,0.0010496,0.0010496
26,132.461,1.03564,0.44428,0.00384,0.95853,0.91566,0.96058,0.70499,1.01319,0.396,0.00539,0.00101,0.00101,0.00101
27,137.349,0.94914,0.41689,0.00331,0.92017,0.97211,0.96596,0.72083,0.99785,0.39127,0.00537,0.0009704,0.0009704,0.0009704
28,142.345,1.03175,0.43704,0.00346,0.96419,0.97335,0.98057,0.73008,0.97704,0.33897,0.00479,0.0009308,0.0009308,0.0009308
29,147.329,1.03601,0.44313,0.00348,0.98149,0.95181,0.98215,0.74507,0.9426,0.37503,0.00486,0.0008912,0.0008912,0.0008912
30,152.328,0.91012,0.3605,0.0029,0.9679,0.9759,0.98879,0.74208,0.95935,0.37395,0.00486,0.0008516,0.0008516,0.0008516
31,157.16,0.95232,0.36499,0.00315,0.98749,0.9508,0.98359,0.71455,0.99003,0.38146,0.00473,0.000812,0.000812,0.000812
32,162.151,0.89763,0.38061,0.00314,0.96232,0.92322,0.9761,0.72646,0.92874,0.39557,0.00446,0.0007724,0.0007724,0.0007724
33,166.979,0.92,0.38549,0.00317,0.95175,0.95071,0.96921,0.72933,0.90969,0.37559,0.00447,0.0007328,0.0007328,0.0007328
34,171.798,0.87843,0.34352,0.00273,0.94447,0.9759,0.97133,0.75026,0.87186,0.34404,0.00418,0.0006932,0.0006932,0.0006932
35,176.823,0.84593,0.35673,0.00283,0.96468,0.98719,0.98205,0.74456,0.87641,0.3419,0.00439,0.0006536,0.0006536,0.0006536
36,181.682,0.83255,0.31736,0.00267,0.97525,0.94948,0.97922,0.75958,0.85999,0.38806,0.00428,0.000614,0.000614,0.000614
37,186.699,0.8088,0.33023,0.00279,0.96053,0.96386,0.98088,0.76378,0.86909,0.36022,0.00435,0.0005744,0.0005744,0.0005744
38,191.685,0.81922,0.30952,0.00302,0.975,0.96386,0.98299,0.76295,0.84999,0.3045,0.00439,0.0005348,0.0005348,0.0005348
