epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.69,1.65099,5.29643,0.0064,0.00521,0.60241,0.02998,0.00813,1.16607,4.54555,0.00635,0.00016,0.00016,0.00016
2,16.68,1.34773,4.37015,0.00503,0.0075,0.86747,0.21044,0.10882,1.0938,4.31018,0.00601,0.000333268,0.000333268,0.000333268
3,18.5305,1.28032,3.86774,0.00451,0.00865,1,0.27647,0.16191,1.05851,4.21597,0.00531,0.000499408,0.000499408,0.000499408
4,20.5591,1.16575,3.66813,0.0043,0.00844,0.9759,0.18549,0.11813,0.96337,4.09938,0.00482,0.00065842,0.00065842,0.00065842
5,22.5161,1.21141,3.20823,0.00414,0.00844,0.9759,0.16555,0.06295,1.05376,4.17354,0.0059,0.000810304,0.000810304,0.000810304
6,24.4928,1.22369,3.23213,0.00463,0.00844,0.9759,0.29589,0.21311,1.06165,4.01518,0.00545,0.00095506,0.00095506,0.00095506
7,26.2481,1.33708,2.947,0.00495,0.59615,0.6988,0.61592,0.42534,1.0167,3.71072,0.00538,0.00109269,0.00109269,0.00109269
8,27.8294,1.25983,2.72481,0.0045,0.79505,0.46988,0.69267,0.48012,1.04403,3.52069,0.00595,0.00122319,0.00122319,0.00122319
9,29.4118,1.25111,2.54158,0.00485,0.96236,0.30812,0.80223,0.5435,1.07041,3.13115,0.00644,0.00134656,0.00134656,0.00134656
10,31.0157,1.27177,2.27871,0.00429,0.86406,0.5361,0.83232,0.58067,1.04569,2.79105,0.00551,0.0014628,0.0014628,0.0014628
11,32.8605,1.20217,2.29094,0.00405,0.83134,0.71264,0.83883,0.58669,1.02223,2.53945,0.00543,0.00157192,0.00157192,0.00157192
12,34.7658,1.32032,2.22699,0.00461,0.89125,0.74699,0.8915,0.62459,1.03575,2.2493,0.00524,0.0015644,0.0015644,0.0015644
13,36.6606,1.18428,1.97413,0.00444,0.81367,0.75904,0.89169,0.61929,1.11791,1.87505,0.00596,0.0015248,0.0015248,0.0015248
14,38.5538,1.17738,1.96242,0.0043,0.88679,0.75904,0.88883,0.64827,1.05025,1.71456,0.00531,0.0014852,0.0014852,0.0014852
15,40.258,1.1554,1.8594,0.00446,0.84937,0.77108,0.88384,0.6312,1.04789,1.60711,0.00526,0.0014456,0.0014456,0.0014456
16,41.9135,1.13182,1.78308,0.004,0.8742,0.74699,0.87573,0.63063,1.09499,1.20816,0.00531,0.001406,0.001406,0.001406
17,43.5218,1.14192,1.57545,0.00413,0.85386,0.80723,0.90683,0.66417,1.03754,1.05433,0.00583,0.0013664,0.0013664,0.0013664
18,45.1634,1.12766,1.52257,0.00413,0.84011,0.84337,0.93313,0.635,1.10788,1.0876,0.00529,0.0013268,0.0013268,0.0013268
19,46.8314,1.09479,1.39298,0.00341,0.78452,0.87734,0.90886,0.65262,1.06306,0.96522,0.0052,0.0012872,0.0012872,0.0012872
20,48.5526,1.09812,1.49425,0.00411,0.8997,0.79518,0.90575,0.6503,1.02711,0.89853,0.00503,0.0012476,0.0012476,0.0012476
21,50.3605,1.0499,1.38137,0.00369,0.78706,0.83133,0.89183,0.62881,1.03226,0.86423,0.00503,0.001208,0.001208,0.001208
22,52.1377,1.09411,1.30433,0.00375,0.84179,0.83133,0.92285,0.64213,1.00653,0.78972,0.00513,0.0011684,0.0011684,0.0011684
23,53.8316,1.03907,1.23047,0.00353,0.85159,0.89878,0.93781,0.65437,1.05841,0.73314,0.0056,0.0011288,0.0011288,0.0011288
24,55.6051,1.00665,1.2063,0.00371,0.90258,0.84337,0.93439,0.6686,1.05506,0.69862,0.00508,0.0010892,0.0010892,0.0010892
25,57.3345,1.0655,1.16263,0.00358,0.88173,0.89822,0.93865,0.67288,1.0237,0.66651,0.00496,0.0010496,0.0010496,0.0010496
26,59.3887,1.07832,1.18168,0.00384,0.85501,0.90361,0.93915,0.66661,1.05849,0.66252,0.00513,0.00101,0.00101,0.00101
27,61.4455,1.11835,1.10864,0.00368,0.95569,0.77963,0.93951,0.64321,1.15479,0.64962,0.00621,0.0009704,0.0009704,0.0009704
28,63.438,1.0557,1.11483,0.00352,0.91519,0.81928,0.92834,0.6684,1.00836,0.63166,0.00484,0.0009308,0.0009308,0.0009308
29,65.271,0.95445,0.99081,0.00337,0.77197,0.87952,0.90934,0.66138,0.99478,0.65984,0.00476,0.0008912,0.0008912,0.0008912
30,67.0273,1.08278,1.01075,0.00368,0.81983,0.90361,0.92032,0.66098,0.98965,0.63386,0.00511,0.0008516,0.0008516,0.0008516
31,68.8162,1.00796,1.02418,0.00325,0.87397,0.8355,0.92512,0.68096,0.96405,0.59173,0.00482,0.000812,0.000812,0.000812
32,70.5828,1.04512,0.94065,0.0034,0.86304,0.83513,0.91549,0.67435,0.97547,0.60201,0.00488,0.0007724,0.0007724,0.0007724
33,72.3833,0.99791,1.02328,0.00343,0.84296,0.84075,0.91019,0.67487,0.95104,0.57669,0.00494,0.0007328,0.0007328,0.0007328
34,74.2495,0.91728,0.86239,0.00318,0.92731,0.76854,0.91977,0.68761,0.94428,0.55441,0.00469,0.0006932,0.0006932,0.0006932
35,75.8687,0.95328,0.92244,0.00318,0.83724,0.83133,0.91689,0.69867,0.93178,0.55544,0.00437,0.0006536,0.0006536,0.0006536
36,77.7643,0.982,0.88894,0.00314,0.89274,0.80231,0.91964,0.6806,1.00388,0.55573,0.00484,0.000614,0.000614,0.000614
37,79.3627,1.00036,0.9232,0.00313,0.87502,0.85542,0.92887,0.66514,1.00913,0.60492,0.00514,0.0005744,0.0005744,0.0005744
38,80.9436,0.9261,0.86091,0.00315,0.89617,0.83188,0.92335,0.66633,0.97577,0.60573,0.00484,0.0005348,0.0005348,0.0005348
39,82.5861,0.9315,0.93967,0.00342,0.88673,0.84892,0.93128,0.67866,0.95941,0.57303,0.00477,0.0004952,0.0004952,0.0004952
40,84.5175,0.95651,0.82064,0.00327,0.89175,0.86747,0.93679,0.68053,0.98019,0.55942,0.00487,0.0004556,0.0004556,0.0004556
41,96.2625,0.99093,1.13492,0.00375,0.89211,0.797,0.92666,0.67053,1.02362,0.58375,0.00508,0.000416,0.000416,0.000416
42,98.3214,0.9557,1.03693,0.00371,0.88564,0.84337,0.92794,0.66804,1.03818,0.61958,0.00508,0.0003764,0.0003764,0.0003764
43,100.279,0.90416,1.05522,0.00343,0.91718,0.80062,0.93058,0.65855,1.0447,0.6116,0.00494,0.0003368,0.0003368,0.0003368
44,102.001,0.89131,0.96523,0.0034,0.95232,0.78313,0.94086,0.68649,0.99184,0.55118,0.00481,0.0002972,0.0002972,0.0002972
45,103.695,0.86334,0.99445,0.00324,0.98484,0.78254,0.95151,0.70424,0.93827,0.51513,0.00447,0.0002576,0.0002576,0.0002576
46,105.426,0.83584,0.93192,0.00306,0.91908,0.86747,0.95587,0.71637,0.90826,0.50482,0.00438,0.000218,0.000218,0.000218
47,107.104,0.85327,0.9954,0.00292,0.92302,0.87952,0.96003,0.71792,0.9114,0.50168,0.00448,0.0001784,0.0001784,0.0001784
48,108.89,0.84249,0.92347,0.00304,0.93499,0.87952,0.96369,0.71661,0.92339,0.50397,0.00456,0.0001388,0.0001388,0.0001388
49,110.673,0.81071,0.96239,0.0032,0.90145,0.88168,0.95911,0.71911,0.90926,0.52507,0.0045,9.92e-05,9.92e-05,9.92e-05
50,112.459,0.80554,0.92322,0.00303,0.91246,0.86747,0.95764,0.71788,0.90889,0.53033,0.00446,5.96e-05,5.96e-05,5.96e-05
